,AHAS,Hang Seng Index
2019/1/23,1.731285831,1.299927322
2019/1/24,1.752340829,1.305355518
2019/1/25,1.764441946,1.326928241
2019/1/28,1.775770661,1.327302217
2019/1/29,1.775739957,1.325122853
2019/1/30,1.795631384,1.330473559
2019/1/31,1.819892161,1.344894521
2019/2/1,1.828192657,1.344329946
2019/2/4,1.828192657,1.347192287
2019/2/8,1.844023023,1.345079824
2019/2/11,1.860897532,1.354586628
2019/2/12,1.866099079,1.355909744
2019/2/13,1.87301388,1.371612912
2019/2/14,1.901678119,1.368458417
2019/2/15,1.894838432,1.342890834
2019/2/18,1.867940862,1.364365371
2019/2/19,1.897749873,1.358643576
2019/2/20,1.901208217,1.372405146
2019/2/21,1.920678353,1.377982066
2019/2/22,1.945993788,1.386952692
2019/2/25,1.943165496,1.393835402
2019/2/26,1.963634176,1.384823383
2019/2/27,1.956952913,1.384119711
2019/2/28,1.945298774,1.378138973
2019/3/1,1.940380649,1.386753911
2019/3/4,1.977429031,1.39384936
2019/3/5,2.006001624,1.393946102
2019/3/6,2.015966257,1.397604047
2019/3/7,2.027885815,1.38517907
2019/3/8,2.011645838,1.358657534
2019/3/11,1.956573716,1.371887739
2019/3/12,1.972094036,1.391985733
2019/3/13,1.996340058,1.386526734
2019/3/14,2.003455166,1.388641603
2019/3/15,1.992869504,1.39638441
2019/3/18,1.998871557,1.415480321
2019/3/19,2.022293073,1.418236775
2019/3/20,2.025405978,1.411242882
