,AQM_HUABAO_Enhanced_50,AQM_HUABAO_50,Benchmark_50
2017/12/8,1.186636064,1.172679372,1.137290152
2017/12/11,1.188575623,1.174249658,1.13984194
2017/12/12,1.188680217,1.17402826,1.139713709
2017/12/13,1.189330505,1.175591666,1.141972989
2017/12/14,1.186528326,1.172965018,1.140629863
2017/12/15,1.189910686,1.177344153,1.14246554
2017/12/18,1.194607896,1.182162151,1.147255435
2017/12/19,1.192106212,1.178796352,1.143484283
2017/12/20,1.191234401,1.178374949,1.142329528
2017/12/21,1.194340763,1.179992369,1.14446799
2017/12/22,1.195317033,1.180534084,1.144476158
2017/12/26,1.196522035,1.180477951,1.144937402
2017/12/27,1.197163885,1.181690113,1.147906798
2017/12/28,1.199056258,1.182959882,1.149135232
2017/12/29,1.199176662,1.181431144,1.149263848
2018/1/2,1.205282885,1.186778543,1.152338807
2018/1/3,1.211067785,1.191185636,1.15586118
2018/1/4,1.214969822,1.193843139,1.160693692
2018/1/5,1.218379955,1.19749542,1.164346777
2018/1/8,1.219951215,1.19871338,1.165117918
2018/1/9,1.219465674,1.198150807,1.164451592
2018/1/10,1.21827468,1.196556047,1.164131677
2018/1/11,1.223237977,1.202041627,1.167292457
2018/1/12,1.228067404,1.205903891,1.171433562
2018/1/16,1.225935868,1.203471529,1.173175088
2018/1/17,1.229134556,1.208276096,1.175593714
2018/1/18,1.227504053,1.206537861,1.174199957
2018/1/19,1.230502844,1.209722805,1.176575002
2018/1/22,1.237036226,1.214233424,1.179975277
2018/1/23,1.240643425,1.217714533,1.184260454
2018/1/24,1.240589726,1.216701837,1.18451559
2018/1/25,1.240144689,1.216454442,1.186648089
2018/1/26,1.245448776,1.222505972,1.190042439
2018/1/29,1.238590473,1.217286218,1.185179013
2018/1/30,1.232363144,1.210568817,1.17779076
2018/1/31,1.23373815,1.21168238,1.178380574
2018/2/1,1.229970089,1.209920995,1.176425783
2018/2/2,1.217521238,1.195620952,1.162383072
2018/2/5,1.195430767,1.172517049,1.144635381
2018/2/6,1.203077185,1.183239927,1.141536667
2018/2/7,1.197570938,1.177797439,1.140105362
2018/2/8,1.178718179,1.156555393,1.124015635
2018/2/9,1.182279772,1.162694354,1.124438353
2018/2/12,1.193368465,1.171603675,1.131135861
2018/2/13,1.193658539,1.172722754,1.133165964
2018/2/14,1.202438131,1.182104787,1.139125139
2018/2/15,1.209609281,1.190577433,1.147743389
2018/2/16,1.211237876,1.191555712,1.149957764
2018/2/20,1.207109754,1.187396223,1.146135734
2018/2/21,1.203068796,1.183460397,1.143760598
2018/2/22,1.205770033,1.184517126,1.14339412
2018/2/23,1.215264485,1.194575668,1.151798256
2018/2/26,1.222720073,1.200820013,1.157439258
2018/2/27,1.21380901,1.191873991,1.150636697
2018/2/28,1.209078517,1.186277727,1.144587032
2018/3/1,1.201302944,1.17841743,1.138411978
2018/3/2,1.204564097,1.183224749,1.136232887
2018/3/5,1.210412863,1.188893805,1.139732598
2018/3/6,1.214525957,1.192552856,1.144106825
2018/3/7,1.213431642,1.192454411,1.143037004
2018/3/8,1.216025179,1.194997709,1.146402367
2018/3/9,1.22534305,1.204020005,1.152925705
2018/3/12,1.226925002,1.204425608,1.155839485
2018/3/13,1.221770524,1.199795767,1.153808858
2018/3/14,1.22099112,1.198600667,1.151623693
2018/3/15,1.22027326,1.197475755,1.150888319
2018/3/16,1.219325019,1.198056568,1.150418823
2018/3/19,1.211767693,1.189645908,1.143713032
2018/3/20,1.212979057,1.19067283,1.143222624
2018/3/21,1.212953289,1.190891054,1.142098212
2018/3/22,1.199412912,1.176783607,1.133410791
2018/3/23,1.186070168,1.165519157,1.122238156
2018/3/26,1.201999696,1.181309492,1.131303496
2018/3/27,1.195733738,1.171149538,1.129379979
2018/3/28,1.193001042,1.169429077,1.126135789
2018/3/29,1.201604183,1.178435215,1.132358992
2018/4/2,1.190971874,1.165049035,1.125535611
2018/4/3,1.195878643,1.171491161,1.127063671
2018/4/4,1.200831014,1.177787548,1.129386443
2018/4/5,1.204204525,1.181310417,1.134414531
2018/4/6,1.194954425,1.170447889,1.128257007
2018/4/9,1.198300541,1.174035403,1.13054482
2018/4/10,1.207389,1.183701822,1.138715519
2018/4/11,1.206116938,1.181706356,1.137079994
2018/4/12,1.208620066,1.185850497,1.138287145
2018/4/13,1.207711061,1.184480449,1.137404223
2018/4/16,1.210648347,1.188882049,1.139984536
2018/4/17,1.215181667,1.195532331,1.14493295
2018/4/18,1.216925353,1.196430791,1.146183129
2018/4/19,1.213798562,1.191810423,1.143265866
2018/4/20,1.206476113,1.185818235,1.136947318
2018/4/23,1.20397223,1.184784007,1.135147394
2018/4/24,1.199742453,1.177500849,1.130354811
2018/4/25,1.199129069,1.177496913,1.127134353
2018/4/26,1.202870992,1.184105397,1.132443112
2018/4/27,1.203670878,1.184954464,1.135227328
2018/4/30,1.200009406,1.180701655,1.133754993
2018/5/1,1.200876963,1.182072643,1.131736917
2018/5/2,1.197707255,1.17943124,1.129383733
2018/5/3,1.198325879,1.179322354,1.12754344
2018/5/4,1.204973068,1.186342872,1.132286248
2018/5/7,1.208771824,1.188991294,1.134521758
2018/5/8,1.208019265,1.188751823,1.133707914
2018/5/9,1.211863223,1.193562869,1.136889514
2018/5/10,1.219312829,1.199427696,1.142253303
2018/5/11,1.218738172,1.200071736,1.145276945
2018/5/14,1.220156838,1.200216839,1.14635246
2018/5/15,1.215337913,1.194218295,1.138491298
2018/5/16,1.218816972,1.197128298,1.139274229
2018/5/17,1.217516625,1.196806492,1.138833158
2018/5/18,1.216772632,1.195643608,1.138279188
2018/5/21,1.220794802,1.199895947,1.140934234
2018/5/22,1.221303977,1.198253918,1.140812552
