datetime,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest
2019-09-20,0.24905279346622233,0.9935723367909828,0.018024715022026738,0.08838177723415441,0.020016660250252283,0.7542000380425109,0.8204738550498853,0.7099043663156626,0.5318718380745253,0.7349511165402081,0.5233160847827989,0.6472068513861493,0.6271638483890951,0.4427347910832715,0.3379672186362652,0.5793854734079917,0.09249898176466753,0.2853875548004934,0.054045635692126615,0.3082229349125214,0.13198193242031886
2019-09-21,0.24905279346622233,0.9935723367909828,0.018024715022026738,0.08838177723415441,0.020016660250252283,0.7542000380425109,0.8204738550498853,0.7099043663156626,0.5318718380745253,0.7349511165402081,0.5233160847827989,0.6472068513861493,0.6271638483890951,0.4427347910832715,0.3379672186362652,0.5793854734079917,0.09249898176466753,0.2853875548004934,0.054045635692126615,0.3082229349125214,0.13198193242031886
2019-09-22,0.24905279346622233,0.9935723367909828,0.018024715022026738,0.08838177723415441,0.020016660250252283,0.7542000380425109,0.8204738550498853,0.7099043663156626,0.5318718380745253,0.7349511165402081,0.5233160847827989,0.6472068513861493,0.6271638483890951,0.4427347910832715,0.3379672186362652,0.5793854734079917,0.09249898176466753,0.2853875548004934,0.054045635692126615,0.3082229349125214,0.13198193242031886
2019-09-23,0.25261115189281824,0.9890193984461679,0.01994338059729195,0.08889057567933745,0.016264950046783744,0.7480905482322002,0.8237582902396721,0.6986486637442568,0.5350144220792192,0.7234671216524047,0.5235966037359385,0.6351454618871253,0.631435831164902,0.4495276481177102,0.337758952511066,0.5829111267248674,0.08955372777561221,0.28203628654399937,0.05150639948000757,0.309677571532899,0.13260464401350824
2019-09-24,0.2414032959157999,0.9836750325856287,0.010321783492688752,0.06989642994517165,-0.013471058853807727,0.7314194066160453,0.8152072351623789,0.6483437577681532,0.529671700102917,0.6776824207826306,0.5095623908179425,0.5927254125562917,0.6202369970306929,0.4402191048737143,0.3020342055601142,0.5636919932301812,0.06764811682818062,0.27787687328035027,0.04682179981426948,0.3061875952569666,0.127834209429748
2019-09-25,0.2524611286260263,0.9980349645527931,0.01946167027298773,0.08131936863501443,0.003346925423526992,0.7260863118365617,0.826841224783416,0.6681250229330407,0.54810609270655,0.6957049005149081,0.5342009610538794,0.6119638497263462,0.6323169945046525,0.45231337791104664,0.315905463847987,0.582478767529911,0.08283250707840373,0.2805677514187197,0.04829803650443143,0.3090237074556168,0.13250987388490398
2019-09-26,0.247178620148772,1.0008991258616216,0.012052102781007212,0.07667915497167388,0.0030125603491268915,0.7103082512238468,0.8315796426302993,0.6796527649338644,0.5478844431491792,0.6934978143750514,0.5380020257813036,0.6177231853241474,0.6316039321412121,0.45080735556293505,0.31370921060498724,0.5743101888391744,0.0847415411455048,0.27382358101843596,0.039650026573432084,0.30562040036961124,0.13223948604396507
2019-09-27,0.24674267014587747,0.9913243005685166,0.011479725570631594,0.0701121285947619,-0.015529671965764602,0.7013486577046315,0.8250084228789991,0.6273973319298034,0.54479801435913,0.6471988727169158,0.522148532637061,0.5768986985262465,0.6254238257510814,0.44670630957387036,0.29039861032105385,0.5813310261368614,0.06545633453483357,0.2728853552937307,0.03211250015560174,0.3017592633286319,0.12575632626360878
2019-09-28,0.24674267014587747,0.9913243005685166,0.011479725570631594,0.0701121285947619,-0.015529671965764602,0.7013486577046315,0.8250084228789991,0.6273973319298034,0.54479801435913,0.6471988727169158,0.522148532637061,0.5768986985262465,0.6254238257510814,0.44670630957387036,0.29039861032105385,0.5813310261368614,0.06545633453483357,0.2728853552937307,0.03211250015560174,0.3017592633286319,0.12575632626360878
2019-09-29,0.24674267014587747,0.9913243005685166,0.011479725570631594,0.0701121285947619,-0.015529671965764602,0.7013486577046315,0.8250084228789991,0.6273973319298034,0.54479801435913,0.6471988727169158,0.522148532637061,0.5768986985262465,0.6254238257510814,0.44670630957387036,0.29039861032105385,0.5813310261368614,0.06545633453483357,0.2728853552937307,0.03211250015560174,0.3017592633286319,0.12575632626360878
2019-09-30,0.25403719412980363,0.9933939777173906,0.012589118279633382,0.06505803932571674,-0.02328546318202207,0.7021914016958355,0.8343565020258084,0.6304395660438775,0.549851260627201,0.6498334373318886,0.5247450720778768,0.5798105966229494,0.6329753668055451,0.4509656062600087,0.280531139462346,0.5786869655415212,0.06404975632304355,0.2741352323370949,0.03775658743796195,0.303198834190469,0.1282413655147041
