,SmartXray Onshore-Growth,Benchmark-Growth
2018/4/4,1.190909804,0.942586751
2018/4/9,1.191546312,0.944835731
2018/4/10,1.202361677,0.953685019
2018/4/11,1.20508195,0.956747535
2018/4/12,1.200851487,0.952220113
2018/4/13,1.193403227,0.949044529
2018/4/16,1.187270236,0.941554827
2018/4/17,1.173841399,0.934854991
2018/4/18,1.17950868,0.942384272
2018/4/19,1.188199341,0.947034247
2018/4/20,1.179491952,0.939350894
2018/4/23,1.176233862,0.938202186
2018/4/24,1.194255236,0.948148791
2018/4/25,1.198775493,0.946247024
2018/4/26,1.184506804,0.938725048
2018/4/27,1.185179026,0.93959787
2018/5/2,1.188546932,0.939243539
2018/5/3,1.193044107,0.942931312
2018/5/4,1.193551173,0.941431103
2018/5/7,1.208458146,0.94905799
2018/5/8,1.213454847,0.952860537
2018/5/9,1.212525786,0.952145883
2018/5/10,1.219511697,0.954957662
2018/5/11,1.212743891,0.953020446
2018/5/14,1.219863847,0.954887575
2018/5/15,1.225769488,0.957827368
2018/5/16,1.222978948,0.953810241
2018/5/17,1.213791153,0.951236238
2018/5/18,1.219714574,0.957880664
2018/5/21,1.222735003,0.961579879
2018/5/22,1.226586809,0.962243898
2018/5/23,1.217230217,0.954782663
2018/5/24,1.213788941,0.952451826
2018/5/25,1.214184204,0.950687595
2018/5/28,1.220848915,0.950051411
2018/5/29,1.210716672,0.947542451
2018/5/30,1.201311292,0.934079332
2018/5/31,1.219085074,0.943236714
2018/6/1,1.207815207,0.939672794
2018/6/4,1.216014189,0.942158494
2018/6/5,1.226637354,0.945542799
2018/6/6,1.227577442,0.945435982
2018/6/7,1.22279716,0.944383549
2018/6/8,1.2189623,0.937526723
2018/6/11,1.215465023,0.935213031
2018/6/12,1.228281826,0.939453677
2018/6/13,1.221996035,0.934369029
2018/6/14,1.217046371,0.933841309
2018/6/15,1.212289485,0.93064759
2018/6/19,1.190285337,0.911931977
2018/6/20,1.199930589,0.913158999
2018/6/21,1.194694593,0.906560403
2018/6/22,1.19943777,0.909294462
2018/6/25,1.194935985,0.904223509
2018/6/26,1.190645342,0.901686743
2018/6/27,1.174056009,0.896523342
2018/6/28,1.163603425,0.892636916
2018/6/29,1.185665587,0.903904184
2018/7/2,1.170805671,0.892300887
2018/7/3,1.167118059,0.89455611
2018/7/4,1.158445621,0.88988123
