,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2018/4/18,1.451225977,1.210675746
2018/4/19,1.451238192,1.206476767
2018/4/20,1.444759887,1.198381421
2018/4/23,1.442288984,1.195591399
2018/4/24,1.437486765,1.189202003
2018/4/25,1.43450045,1.18627999
2018/4/26,1.436109795,1.191969504
2018/4/27,1.437755218,1.193878922
2018/4/30,1.435041886,1.190285338
2018/5/2,1.429600657,1.184133984
2018/5/3,1.425481801,1.183222345
2018/5/4,1.430262546,1.189345273
2018/5/7,1.433699621,1.191940463
2018/5/8,1.435260004,1.18987254
2018/5/9,1.440792626,1.194745259
2018/5/10,1.444141614,1.200403488
2018/5/11,1.449585412,1.204565482
2018/5/14,1.451901704,1.20577927
2018/5/15,1.447144156,1.19674783
2018/5/16,1.447666487,1.196937049
2018/5/17,1.446679249,1.197147857
2018/5/18,1.446115921,1.195802006
2018/5/21,1.448714335,1.198725709
2018/5/23,1.444421854,1.197085957
2018/5/24,1.442865225,1.196779401
2018/5/25,1.441082633,1.193964127
2018/5/28,1.441928312,1.192619752
2018/5/29,1.429777737,1.184706581
2018/5/30,1.433974485,1.19069223
2018/5/31,1.43454528,1.189280572
2018/6/1,1.43812938,1.193662097
2018/6/4,1.442126598,1.198353896
2018/6/5,1.44477491,1.197078424
2018/6/6,1.450799349,1.203046553
2018/6/7,1.451955494,1.203871595
2018/6/8,1.450852154,1.203686405
2018/6/11,1.452446843,1.205953192
2018/6/12,1.454858152,1.205964647
2018/6/13,1.452099771,1.203985738
2018/6/14,1.452437286,1.204248646
2018/6/15,1.448807848,1.201108568
2018/6/19,1.435988645,1.192915897
2018/6/20,1.43850837,1.194843113
2018/6/21,1.431606603,1.191041756
2018/6/22,1.435965926,1.194626526
2018/6/25,1.424943392,1.184738176
2018/6/26,1.422959139,1.185184238
2018/6/27,1.413575458,1.180396589
2018/6/28,1.409767138,1.181168639
2018/6/29,1.41645247,1.18604432
2018/7/3,1.409806582,1.18363089
2018/7/4,1.408054155,1.183721235
2018/7/5,1.410343289,1.189550652
2018/7/6,1.415730927,1.196932119
2018/7/9,1.428737276,1.202950077
2018/7/10,1.431295789,1.203754762
2018/7/11,1.423258086,1.19720832
2018/7/12,1.430114177,1.200994843
2018/7/13,1.432663371,1.202586572
2018/7/16,1.432321854,1.202022928
2018/7/17,1.434429556,1.203536247
2018/7/18,1.435673251,1.20429908
2018/7/19,1.432702218,1.201466293
2018/7/20,1.434687845,1.204170197
2018/7/23,1.436595897,1.20325426
2018/7/24,1.442265419,1.208030457
2018/7/25,1.447555512,1.212059644
2018/7/26,1.448799665,1.211493391
2018/7/27,1.446282329,1.209421171
2018/7/30,1.444008467,1.206693539
2018/7/31,1.446050522,1.208344454
2018/8/1,1.442566218,1.20556828
2018/8/2,1.438219319,1.204484851
2018/8/3,1.43918119,1.207988141
2018/8/6,1.438929074,1.208509751
2018/8/7,1.446319861,1.212020313
2018/8/8,1.443724752,1.21192985
2018/8/9,1.445476502,1.211136636
2018/8/10,1.438271865,1.201919308
2018/8/13,1.430497986,1.196763714
2018/8/14,1.430694131,1.199690977
2018/8/15,1.425787389,1.191750257
