Date,Portfolio-80,202015.OF,110023.OF
2017/8/3,1.792609339,1.556533669,1.432601881
2017/8/4,1.782399361,1.5488739,1.429467085
2017/8/7,1.797096349,1.556419344,1.446185998
2017/8/8,1.800041726,1.558934492,1.449320794
2017/8/9,1.812929335,1.558591517,1.4723093
2017/8/10,1.809343526,1.552532297,1.479623824
2017/8/11,1.788805444,1.525665943,1.473354232
2017/8/14,1.812895751,1.544415228,1.493207941
2017/8/15,1.81564543,1.5488739,1.495297806
2017/8/16,1.81202363,1.547159026,1.484848485
2017/8/17,1.814193247,1.555047445,1.486938349
2017/8/18,1.816006294,1.556990968,1.500522466
2017/8/21,1.823560506,1.563507488,1.510971787
2017/8/22,1.82503379,1.568080485,1.509926855
2017/8/23,1.824964933,1.569566709,1.500522466
2017/8/24,1.814598277,1.56122099,1.489028213
2017/8/25,1.830594538,1.585800846,1.49738767
2017/8/28,1.845905788,1.604550131,1.501567398
2017/8/29,1.842757344,1.602034983,1.490073145
2017/8/30,1.844652462,1.602034983,1.486938349
2017/8/31,1.842220211,1.597233337,1.479623824
2017/9/1,1.84565737,1.600777409,1.485893417
2017/9/4,1.84791919,1.607408254,1.493207941
2017/9/5,1.851247013,1.611866926,1.498432602
2017/9/6,1.84819192,1.609008803,1.496342738
2017/9/7,1.843100269,1.601234709,1.499477534
2017/9/8,1.841707927,1.59963416,1.505747126
2017/9/11,1.843134528,1.599519835,1.494252874
2017/9/12,1.848283429,1.604435807,1.490073145
2017/9/13,1.855509932,1.60637933,1.496342738
2017/9/14,1.851539524,1.601234709,1.499477534
2017/9/15,1.853665131,1.601806334,1.504702194
2017/9/18,1.865469653,1.606493655,1.516196447
2017/9/19,1.861137294,1.601920659,1.516196447
2017/9/20,1.867640358,1.606265005,1.519331243
2017/9/21,1.863209882,1.604435807,1.517241379
2017/9/22,1.86515213,1.604321482,1.517241379
2017/9/25,1.864637912,1.596433063,1.533960293
2017/9/26,1.863022929,1.598033612,1.528735632
2017/9/27,1.865568181,1.598262261,1.528735632
2017/9/28,1.874077253,1.598833886,1.541274817
2017/9/29,1.882446473,1.604435807,1.544409613
2017/10/9,1.901476804,1.622270493,1.567398119
2017/10/10,1.907855035,1.625357265,1.589341693
2017/10/11,1.919918026,1.630501886,1.599791014
2017/10/12,1.924499598,1.634503258,1.607105538
2017/10/13,1.929907796,1.637818681,1.60815047
2017/10/16,1.922044093,1.634960558,1.601880878
2017/10/17,1.924274696,1.634731908,1.607105538
2017/10/18,1.937744518,1.646850349,1.625914316
2017/10/19,1.945229166,1.641934378,1.637408568
2017/10/20,1.940791996,1.640333829,1.634273772
2017/10/23,1.95131532,1.641934378,1.664576803
2017/10/24,1.958241867,1.653252544,1.669801463
2017/10/25,1.970287167,1.660340688,1.693834901
2017/10/26,1.977971205,1.667085858,1.675026123
2017/10/27,1.993853884,1.678289699,1.681295716
2017/10/30,1.987300666,1.673259403,1.667711599
2017/10/31,1.986096358,1.672230479,1.665621735
2017/11/1,1.982183518,1.668229107,1.661442006
2017/11/2,1.979998702,1.668343432,1.664576803
2017/11/3,1.979146361,1.666628558,1.668756531
2017/11/6,2.006459715,1.6778324,1.728317659
2017/11/7,2.01445395,1.691208414,1.726227795
2017/11/8,2.006989086,1.688807591,1.705329154
2017/11/9,2.017878843,1.699897108,1.714733542
2017/11/10,2.044101763,1.714302046,1.726227795
2017/11/13,2.046955328,1.720818566,1.725182863
2017/11/14,2.024928907,1.7095004,1.691745037
2017/11/15,2.020453804,1.699439808,1.693834901
2017/11/16,2.043319206,1.711786898,1.724137931
2017/11/17,2.032800698,1.718189093,1.691745037
2017/11/20,2.044951939,1.727220761,1.717868339
2017/11/21,2.063083588,1.756487939,1.717868339
2017/11/22,2.053208053,1.760489311,1.701149425
2017/11/23,1.994139161,1.711329599,1.638453501
2017/11/24,1.996874382,1.711901223,1.639498433
2017/11/27,1.974755485,1.690065165,1.618599791
2017/11/28,1.986262583,1.692465988,1.636363636
2017/11/29,1.974948369,1.691780039,1.618599791
2017/11/30,1.958507438,1.673030753,1.610240334
2017/12/1,1.961747536,1.670172631,1.621734587
2017/12/4,1.974235153,1.678289699,1.634273772
2017/12/5,1.973140396,1.686749743,1.614420063
2017/12/6,1.965722573,1.6769178,1.620689655
2017/12/7,1.950249638,1.659311764,1.619644723
2017/12/8,1.971866696,1.672001829,1.638453501
2017/12/11,2.012857907,1.694638162,1.687565308
2017/12/12,1.995448093,1.673602378,1.676071055
2017/12/13,2.018342926,1.687092718,1.687565308
2017/12/14,2.015749924,1.67760375,1.693834901
2017/12/15,1.998437013,1.659883389,1.667711599
2017/12/18,2.004342045,1.661483937,1.660397074
2017/12/19,2.024317973,1.681376472,1.680250784
2017/12/20,2.031793132,1.679432948,1.681295716
2017/12/21,2.047866443,1.694295187,1.70846395
2017/12/22,2.041608549,1.689150566,1.711598746
2017/12/25,2.038733805,1.68389162,1.712643678
2017/12/26,2.037844794,1.688807591,1.705329154
2017/12/27,2.007654532,1.66411341,1.677115987
2017/12/28,2.025799494,1.675088602,1.684430512
2017/12/29,2.031380742,1.679890248,1.698014629
2018/1/2,2.047835393,1.702412256,1.701149425
2018/1/3,2.053724296,1.711901223,1.712643678
2018/1/4,2.065360964,1.718760718,1.724137931
2018/1/5,2.066980077,1.72276209,1.715778474
2018/1/8,2.075641772,1.731222133,1.723092999
2018/1/9,2.098908599,1.742768949,1.752351097
2018/1/10,2.102633213,1.750085744,1.736677116
2018/1/11,2.098782481,1.749285469,1.73876698
2018/1/12,2.111977559,1.756945238,1.746081505
2018/1/15,2.110644669,1.757173888,1.723092999
2018/1/16,2.120955236,1.770321253,1.743991641
2018/1/17,2.10417565,1.766319881,1.735632184
2018/1/18,2.109461282,1.775580199,1.730407524
2018/1/19,2.101465833,1.78118212,1.718913271
2018/1/22,2.135335357,1.801417629,1.747126437
2018/1/23,2.149343369,1.81982394,1.741901776
2018/1/24,2.145828647,1.822796387,1.745036573
2018/1/25,2.130621525,1.812964445,1.726227795
2018/1/26,2.137241684,1.81982394,1.726227795
2018/1/29,2.095570958,1.788384589,1.689655172
2018/1/30,2.086128534,1.770206928,1.691745037
2018/1/31,2.09898767,1.777981022,1.692789969
2018/2/1,2.083150119,1.765976906,1.664576803
2018/2/2,2.089624891,1.776151823,1.666666667
2018/2/5,2.069699774,1.777295073,1.646812957
2018/2/6,2.019873175,1.728021036,1.590386625
2018/2/7,1.977299878,1.689379216,1.575757576
2018/2/8,1.978792862,1.674059678,1.598746082
2018/2/9,1.925629662,1.606036355,1.555903866
2018/2/12,1.965382678,1.626271865,1.60292581
2018/2/13,1.982834654,1.644220876,1.616509927
2018/2/14,1.997927683,1.656567966,1.622779519
2018/2/22,2.037506512,1.69040814,1.648902821
2018/2/23,2.037326855,1.697610609,1.652037618
2018/2/26,2.057848313,1.716588545,1.675026123
2018/2/27,2.037159817,1.693037613,1.668756531
2018/2/28,2.022386853,1.679089974,1.660397074
2018/3/1,2.038880861,1.689150566,1.680250784
2018/3/2,2.028686963,1.676346176,1.669801463
2018/3/5,2.026557252,1.676689151,1.681295716
2018/3/6,2.046091942,1.696010061,1.722048067
2018/3/7,2.036232253,1.68412027,1.712643678
2018/3/8,2.061854126,1.700354407,1.759665622
2018/3/9,2.074730163,1.712930147,1.770114943
2018/3/12,2.083455043,1.720246942,1.791013584
2018/3/13,2.065252414,1.705842003,1.76384535
2018/3/14,2.05863429,1.698868183,1.754440961
2018/3/15,2.072633403,1.707671202,1.75862069
2018/3/16,2.05548216,1.692008689,1.752351097
2018/3/19,2.072094585,1.698982508,1.797283177
2018/3/20,2.076398066,1.700240082,1.838035528
2018/3/21,2.062145194,1.693380588,1.816091954
2018/3/22,2.040670039,1.6769178,1.795193312
2018/3/23,1.999497772,1.630273237,1.756530825
2018/3/26,2.001601778,1.620898594,1.807732497
2018/3/27,2.012445223,1.634160284,1.827586207
2018/3/28,1.976054745,1.606265005,1.804597701
2018/3/29,1.995657094,1.626729164,1.785788924
2018/3/30,2.009907153,1.628558363,1.840125392
2018/4/2,2.004856994,1.623985366,1.824451411
2018/4/3,1.999013879,1.614267749,1.827586207
2018/4/4,2.002871165,1.611409626,1.823406479
2018/4/9,2.002060897,1.610495027,1.833855799
2018/4/10,2.025283787,1.639876529,1.853709509
2018/4/11,2.03023094,1.64456385,1.848484848
2018/4/12,2.020726617,1.628787013,1.858934169
2018/4/13,2.004377263,1.617926146,1.81400209
2018/4/16,1.991416061,1.593003315,1.826541275
2018/4/17,1.960418555,1.569338059,1.782654127
2018/4/18,1.965546505,1.576197553,1.795193312
2018/4/19,1.98795469,1.594260889,1.807732497
2018/4/20,1.969160948,1.57402538,1.791013584
2018/4/23,1.963375053,1.576083229,1.76907001
2018/4/24,2.003829506,1.60683663,1.811912226
2018/4/25,2.015217846,1.601006059,1.852664577
2018/4/26,1.980331537,1.571853207,1.826541275
2018/4/27,1.981267642,1.572653481,1.858934169
2018/5/2,1.9902694,1.575168629,1.872518286
2018/5/3,2.001935509,1.586944095,1.867293626
2018/5/4,2.001906677,1.58031325,1.895506792
2018/5/7,2.037190264,1.603864182,1.935214211
2018/5/8,2.049293329,1.621355893,1.921630094
2018/5/9,2.047809652,1.618612096,1.929989551
2018/5/10,2.06570721,1.627186464,1.965517241
2018/5/11,2.049295397,1.619069395,1.917450366
2018/5/14,2.067585438,1.633360009,1.923719958
2018/5/15,2.080537029,1.63919058,1.958202717
2018/5/16,2.07521739,1.626843489,1.972831766
2018/5/17,2.053034102,1.615525323,1.939393939
2018/5/18,2.067171762,1.630959186,1.94984326
2018/5/21,2.073539653,1.63827598,1.954022989
2018/5/22,2.082170082,1.632559735,1.998955068
2018/5/23,2.060449247,1.612095576,1.990595611
2018/5/24,2.052705262,1.601349034,1.998955068
2018/5/25,2.054141584,1.597919287,2.018808777
2018/5/28,2.071153314,1.604550131,2.039707419
2018/5/29,2.048433274,1.59334629,1.959247649
2018/5/30,2.027976163,1.561335315,1.939393939
2018/5/31,2.071765012,1.592774666,1.985370951
2018/6/1,2.046349228,1.58031325,1.92476489
2018/6/4,2.067599684,1.594946839,1.922675026
2018/6/5,2.092558653,1.610609352,1.98014629
2018/6/6,2.094616187,1.607522579,1.993730408
2018/6/7,2.083008655,1.607179604,1.966562173
