,NAME,HKSE,SEHKENG,GICS,GICSCODE,GICSENG,LOTSIZE
00326.HK,中国星集团,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
00327.HK,百富环球,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
00328.HK,ALCO HOLDINGS,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00329.HK,东建国际,金融业,Financials,金融,40,Financials,4000
00330.HK,思捷环球,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,100
00331.HK,丰盛服务集团,地产建筑业,Properties & Construction,工业,20,Industrials,1000
00332.HK,元亨燃气,能源业,Energy,能源,10,Energy,4000
00333.HK,黛丽斯国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00334.HK,华显光电,资讯科技业,Information Technology,信息技术,45,Information Technology,8000
00335.HK,美建集团,金融业,Financials,金融,40,Financials,2000
00336.HK,华宝国际,必需性消费,Consumer Staples,原材料,15,Materials,1000
00337.HK,绿地香港,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00338.HK,上海石油化工股份,原材料业,Materials,能源,10,Energy,2000
00339.HK,核心经济投资,金融业,Financials,金融,40,Financials,10000
00340.HK,潼关黄金,原材料业,Materials,原材料,15,Materials,2000
00341.HK,大家乐集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00342.HK,新海能源,能源业,Energy,能源,10,Energy,2000
00343.HK,文化传信,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,5000
00345.HK,VITASOY INT'L,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00346.HK,延长石油国际,能源业,Energy,能源,10,Energy,10000
00347.HK,鞍钢股份,原材料业,Materials,原材料,15,Materials,2000
00348.HK,中国智能健康,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,50000
00351.HK,亚洲能源物流,工业,Industrials,工业,20,Industrials,10000
