,open,high,low,close
2018-10-25 08:00:00 UTC,3.98,4.09,3.93,4.08
2018-10-26 08:00:00 UTC,4.11,4.23,4.11,4.14
2018-10-27 08:00:00 UTC,4.11,4.23,4.11,4.14
2018-10-28 08:00:00 UTC,4.11,4.23,4.11,4.14
2018-10-29 08:00:00 UTC,4.14,4.17,4.05,4.08
2018-10-30 08:00:00 UTC,4.07,4.15,3.98,4.12
2018-10-31 08:00:00 UTC,4.11,4.24,4.1,4.17
2018-11-01 08:00:00 UTC,4.19,4.37,4.18,4.23
2018-11-02 08:00:00 UTC,4.3,4.37,4.26,4.34
2018-11-03 08:00:00 UTC,4.3,4.37,4.26,4.34
2018-11-04 08:00:00 UTC,4.3,4.37,4.26,4.34
2018-11-05 08:00:00 UTC,4.35,4.77,4.33,4.77
2018-11-06 08:00:00 UTC,5.25,5.25,5.11,5.25
2018-11-07 08:00:00 UTC,5.3,5.45,4.87,4.9
2018-11-08 08:00:00 UTC,4.86,5.08,4.84,4.89
2018-11-09 08:00:00 UTC,4.81,5.13,4.81,4.99
2018-11-10 08:00:00 UTC,4.81,5.13,4.81,4.99
2018-11-11 08:00:00 UTC,4.81,5.13,4.81,4.99
2018-11-12 08:00:00 UTC,5.04,5.49,5.01,5.49
2018-11-13 08:00:00 UTC,5.57,5.85,5.42,5.47
2018-11-14 08:00:00 UTC,5.42,5.86,5.36,5.58
2018-11-15 08:00:00 UTC,5.64,6.14,5.55,6.14
2018-11-16 08:00:00 UTC,6.0,6.75,5.93,6.51
2018-11-17 08:00:00 UTC,6.0,6.75,5.93,6.51
2018-11-18 08:00:00 UTC,6.0,6.75,5.93,6.51
2018-11-19 08:00:00 UTC,6.9,7.16,6.66,6.91
2018-11-20 08:00:00 UTC,6.55,6.73,6.22,6.22
2018-11-21 08:00:00 UTC,6.84,6.84,6.84,6.84
2018-11-22 08:00:00 UTC,7.3,7.45,6.86,6.88
2018-11-23 08:00:00 UTC,6.51,6.96,6.36,6.68
2018-11-24 08:00:00 UTC,6.51,6.96,6.36,6.68
2018-11-25 08:00:00 UTC,6.51,6.96,6.36,6.68
2018-11-26 08:00:00 UTC,6.93,7.19,6.76,7.18
2018-11-27 08:00:00 UTC,7.4,7.55,6.91,7.3
2018-11-28 08:00:00 UTC,7.1,7.16,6.57,6.8
2018-11-29 08:00:00 UTC,6.78,7.13,6.6,6.6
2018-11-30 08:00:00 UTC,6.55,6.58,6.02,6.15
2018-12-01 08:00:00 UTC,6.55,6.58,6.02,6.15
2018-12-02 08:00:00 UTC,6.55,6.58,6.02,6.15
2018-12-03 08:00:00 UTC,6.29,6.52,6.22,6.3
2018-12-04 08:00:00 UTC,6.33,6.93,6.3,6.93
2018-12-05 08:00:00 UTC,6.6,6.72,6.45,6.7
2018-12-06 08:00:00 UTC,6.72,6.89,6.53,6.63
2018-12-07 08:00:00 UTC,6.74,6.85,6.57,6.66
2018-12-08 08:00:00 UTC,6.74,6.85,6.57,6.66
2018-12-09 08:00:00 UTC,6.74,6.85,6.57,6.66
2018-12-10 08:00:00 UTC,6.69,7.08,6.69,6.9
2018-12-11 08:00:00 UTC,6.93,7.14,6.43,6.57
2018-12-12 08:00:00 UTC,6.57,6.65,6.33,6.54
2018-12-13 08:00:00 UTC,6.61,6.84,6.45,6.68
2018-12-14 08:00:00 UTC,6.58,6.63,6.27,6.28
2018-12-15 08:00:00 UTC,6.58,6.63,6.27,6.28
2018-12-16 08:00:00 UTC,6.58,6.63,6.27,6.28
2018-12-17 08:00:00 UTC,6.43,6.58,6.29,6.34
2018-12-18 08:00:00 UTC,6.3,6.39,6.08,6.32
2018-12-19 08:00:00 UTC,6.28,6.32,6.08,6.15
2018-12-20 08:00:00 UTC,6.21,6.66,6.16,6.5
2018-12-21 08:00:00 UTC,6.85,7.13,6.63,6.73
2018-12-22 08:00:00 UTC,6.85,7.13,6.63,6.73
2018-12-23 08:00:00 UTC,6.85,7.13,6.63,6.73
2018-12-24 08:00:00 UTC,6.3,6.45,6.17,6.31
2018-12-25 08:00:00 UTC,6.47,6.94,6.34,6.94
2018-12-26 08:00:00 UTC,7.0,7.51,6.87,7.23
2018-12-27 08:00:00 UTC,7.19,7.23,6.89,6.95
2018-12-28 08:00:00 UTC,7.0,7.07,6.83,6.92
2018-12-29 08:00:00 UTC,7.0,7.07,6.83,6.92
2018-12-30 08:00:00 UTC,7.0,7.07,6.83,6.92
