Currency,Country,Event Short Name,Bloomber Ticker,BBG FREQ,BBG TRANSFORM,BBG INDX UNITS,BBG QUOTE UNITS,BBG UPDATE TIME
GBP,United Kingdom,UK CPI MoM,UKRPCJMR Index,Monthly,MoM% NSA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK CPI YoY,UKRPCJYR Index,Monthly,YoY% NSA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK CPI Core YoY,UKHCA9IQ Index,Monthly,YoY% NSA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK Retail Sales Ex Auto MoM,UKRVAMOM Index,Monthly,MoM% SA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK Retail Sales Ex Auto YoY,UKRVAYOY Index,Monthly,YoY% SA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK GDP QoQ,UKGRABIQ Index,Quarterly,QoQ% SA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK GDP YoY,UKGRABIY Index,Quarterly,YoY% SA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK BoE/GfK Inflation Next 12 Mths,UKBFFTIN Index,Monthly,% Balance/Diffusion Index NSA,Rate,#N/A Field Not Applicable,5:30:00 PM
USD,United States,GDP QoQ,GDP CQOQ Index,Quarterly,QoQ% SAAR,Rate,% CHANGE,9:30:00 PM
USD,United States,Employment Cost Index,ECI SA% Index,Quarterly,QoQ% SA,Rate,% CHANGE,9:30:00 PM
USD,United States,Core PCE QoQ,GDPCPCEC Index,Quarterly,QoQ% SAAR,Rate,% CHANGE,9:30:00 PM
USD,United States,US Current Account Balance,USCABAL Index,Quarterly,Value SA,Value,BILLIONS,9:30:00 PM
USD,United States,ChicagoPurchasing Manager,CHPMINDX Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,10:45:00 PM
USD,United States,NFP MoM,NFP TCH Index,Monthly,Net Monthly Change SA,Value,Thousands,9:30:00 PM
USD,United States,Initial Jobless Claims,INJCJC Index,Weekly,Units/Persons SA,Volume,THOUSANDS,9:30:00 PM
