,25%,50%,75%,count,diff_stat_p,end,freq_day,max,mean,min,missing_pct,raw_stat_p,start,std
CTOTTHB Index,-21.335,-16.85,-6.98,6063.0,1.4861248420859236e-23,2019-10-23,1.4343451006268557,0.82,-14.997436912419586,-40.04,0.0,0.2780668147671711,1996-01-02,8.611549967086928
CTOTUSD Index,-16.21,-14.03,-4.86,6062.0,3.7611746479661523e-26,2019-10-23,1.434581752186108,2.17,-11.23086110194655,-27.68,0.0,0.30946950290441566,1996-01-02,6.772669877427257
EURI1M Curncy,-0.09575,1.1985,3.2487,5443.0,1.0475205108290749e-29,2019-10-23,1.3998529952223446,5.4168,1.5941420172698855,-2.8756,0.0,0.8344064356951315,1998-12-14,1.8103671566381219
EURI3M Curncy,-0.03560000000000001,1.2928,3.30095,5391.0,3.360773417838513e-24,2019-10-23,1.4133580705009277,5.207999999999999,1.611437933593028,-1.3333,0.0,0.876126764057161,1998-12-14,1.8400506537278638
GACGB10 Index,4.0489999999999995,5.605,6.71,7761.0,0.0,2019-10-23,1.4028350515463917,13.8,5.850780311815498,0.8759999999999999,0.0,0.2845891199736845,1990-01-02,2.6010965179466474
GACGB2 Index,2.7727500000000003,5.045,6.12525,7404.0,4.179380842650743e-28,2019-10-23,1.4665676077265972,14.45,4.81897974068071,0.612,0.0,0.15493943732674792,1990-01-31,2.1395549017869344
GBP1M Curncy,-28.08,-5.3,-0.99,7745.0,8.880126381977928e-28,2019-10-23,1.40573347107438,47.58,-17.182546158812084,-135.99,0.0,0.17949072398780813,1990-01-02,29.634572046092927
GBP3M Curncy,-81.45,-15.91,-2.88,7745.0,2.0369229924185636e-23,2019-10-23,1.40573347107438,66.42,-49.504923176243025,-348.54,0.0,0.07417847756500838,1990-01-02,84.7312151266355
GCAN10YR Index,2.445,4.458,6.214,7718.0,7.226572338709206e-30,2019-10-23,1.4106518076972916,11.908,4.747216895568824,0.9540000000000001,0.0,0.4190568648603014,1990-01-02,2.528355840830444
GCAN2YR Index,1.39575,3.3935,5.33925,7716.0,,2019-10-23,1.4110174983797796,13.312000000000001,3.8115383618455145,0.29100000000000004,0.0,0.04220109826133703,1990-01-02,2.6778088854349607
