date,equity,bond
2018-02-13,3935.63,169.3392
2018-02-14,3966.96,169.3767
2018-02-15,3966.96,169.3767
2018-02-16,3966.96,169.3767
2018-02-17,3966.96,169.3767
2018-02-18,3966.96,169.3767
2018-02-19,3966.96,169.3767
2018-02-20,3966.96,169.3767
2018-02-21,3966.96,169.3767
2018-02-22,4052.73,169.4897
2018-02-23,4071.09,169.573
2018-02-24,4071.09,169.632
2018-02-25,4071.09,169.632
2018-02-26,4118.42,169.9746
2018-02-27,4058.98,170.1645
2018-02-28,4023.64,170.3001
2018-03-01,4049.09,170.2906
2018-03-02,4016.46,170.2392
2018-03-03,4016.46,170.2392
2018-03-04,4016.46,170.2392
2018-03-05,4018.1,170.1789
2018-03-06,4066.56,170.2095
2018-03-07,4036.65,170.3058
2018-03-08,4077.6,170.3606
2018-03-09,4108.86,170.4293
2018-03-10,4108.86,170.4293
2018-03-11,4108.86,170.4293
2018-03-12,4127.67,170.5191
2018-03-13,4091.25,170.4762
2018-03-14,4073.34,170.4801
2018-03-15,4096.16,170.5335
2018-03-16,4056.42,170.6701
2018-03-17,4056.42,170.6701
2018-03-18,4056.42,170.6701
2018-03-19,4074.25,170.6905
2018-03-20,4077.7,170.838
2018-03-21,4061.05,170.9809
2018-03-22,4020.35,171.1932
2018-03-23,3904.94,171.6462
2018-03-24,3904.94,171.6462
2018-03-25,3904.94,171.6462
2018-03-26,3879.89,171.6066
2018-03-27,3913.27,171.4971
2018-03-28,3842.72,171.5023
2018-03-29,3894.05,171.4652
2018-03-30,3898.5,171.48
2018-03-31,3898.5,171.48
2018-04-01,3898.5,171.48
2018-04-02,3886.92,171.5743
2018-04-03,3862.48,171.6133
2018-04-04,3854.86,171.7216
2018-04-05,3854.86,171.7216
2018-04-06,3854.86,171.7216
2018-04-07,3854.86,171.7216
2018-04-08,3854.86,171.91
2018-04-09,3852.93,172.2571
2018-04-10,3927.17,172.2652
2018-04-11,3938.34,172.357
2018-04-12,3898.64,172.4611
2018-04-13,3871.14,172.6169
2018-04-14,3871.14,172.6169
2018-04-15,3871.14,172.6169
2018-04-16,3808.86,172.9239
2018-04-17,3748.64,173.071
2018-04-18,3766.28,174.6493
2018-04-19,3811.84,174.4542
2018-04-20,3760.85,174.5148
2018-04-21,3760.85,174.5148
2018-04-22,3760.85,174.5148
2018-04-23,3766.33,174.0865
2018-04-24,3843.49,174.2281
2018-04-25,3828.7,174.0706
2018-04-26,3755.49,173.9783
2018-04-27,3756.88,173.867
2018-04-28,3756.88,173.9438
2018-04-29,3756.88,173.9438
2018-04-30,3756.88,173.9438
2018-05-01,3756.88,173.9438
2018-05-02,3763.65,173.765
2018-05-03,3793,173.8287
2018-05-04,3774.6,173.9558
2018-05-05,3774.6,173.9558
2018-05-06,3774.6,173.9558
2018-05-07,3834.19,173.9082
2018-05-08,3878.68,173.6727
2018-05-09,3871.61,173.5588
2018-05-10,3893.06,173.6427
2018-05-11,3872.84,173.7467
2018-05-12,3872.84,173.7467
2018-05-13,3872.84,173.7467
2018-05-14,3909.29,173.721
2018-05-15,3924.1,173.5778
2018-05-16,3892.84,173.5832
2018-05-17,3864.05,173.4907
2018-05-18,3903.06,173.6145
2018-05-19,3903.06,173.6145
2018-05-20,3903.06,173.6145
2018-05-21,3921.24,173.7565
2018-05-22,3906.21,173.9603
2018-05-23,3854.58,174.1262
2018-05-24,3827.22,174.1455
2018-05-25,3816.5,174.4279
2018-05-26,3816.5,174.4279
2018-05-27,3816.5,174.4279
2018-05-28,3833.26,174.4839
2018-05-29,3804.01,174.4724
2018-05-30,3723.37,174.5307
2018-05-31,3802.38,174.409
2018-06-01,3770.59,174.289
2018-06-02,3770.59,174.289
2018-06-03,3770.59,174.289
2018-06-04,3807.58,174.0461
2018-06-05,3845.32,173.9685
2018-06-06,3837.35,173.8704
2018-06-07,3831.01,173.8493
2018-06-08,3779.62,173.9867
2018-06-09,3779.62,173.9867
2018-06-10,3779.62,173.9867
2018-06-11,3779.98,174.0031
2018-06-12,3825.95,173.8002
2018-06-13,3788.34,173.9466
2018-06-14,3773.36,174.1271
2018-06-15,3753.43,174.3281
2018-06-16,3753.43,174.3281
2018-06-17,3753.43,174.3281
2018-06-18,3753.43,174.3281
2018-06-19,3621.12,174.7127
