,MSEUACWF INDEX,LEGATRUU INDEX
,PX_LAST,PX_LAST
date,,
20/3/2017,451.059,456.7125
21/3/2017,448.049,458.5283
22/3/2017,446.925,459.988
23/3/2017,447.478,459.5674
24/3/2017,447.72,460.0817
25/3/2017,447.72,460.0817
26/3/2017,447.72,460.0817
27/3/2017,447.403,462.0172
28/3/2017,450.599,461.6485
29/3/2017,450.223,460.1979
30/3/2017,450.785,459.8636
31/3/2017,448.866,459.3044
1/4/2017,448.866,459.3044
2/4/2017,448.866,459.3044
3/4/2017,448.198,459.9534
4/4/2017,448.425,460.4436
5/4/2017,447.755,459.923
6/4/2017,447.589,460.2706
7/4/2017,447.26,459.692
8/4/2017,447.26,459.692
9/4/2017,447.26,459.692
10/4/2017,447.358,459.3192
11/4/2017,447.412,461.7165
12/4/2017,446.55,462.0967
13/4/2017,444.664,463.4017
14/4/2017,444.357,463.4894
15/4/2017,444.357,463.4894
16/4/2017,444.357,463.4894
17/4/2017,447.46,464.0689
18/4/2017,445.308,465.7677
19/4/2017,444.565,465.3775
20/4/2017,447.353,465.2455
21/4/2017,446.536,464.396
22/4/2017,446.536,464.396
23/4/2017,446.536,464.396
24/4/2017,453.406,465.3356
25/4/2017,456.225,464.4018
26/4/2017,456.305,463.4999
27/4/2017,455.879,464.1774
28/4/2017,455.173,464.4815
29/4/2017,455.173,464.4815
30/4/2017,455.173,464.4815
1/5/2017,456.174,464.3188
2/5/2017,457.397,464.0443
3/5/2017,456.621,463.9348
4/5/2017,457.051,463.2525
5/5/2017,459.171,463.8958
6/5/2017,459.171,463.8958
7/5/2017,459.171,463.8958
8/5/2017,459.646,462.7584
9/5/2017,459.087,460.7707
10/5/2017,459.859,460.8293
11/5/2017,459.113,460.838
12/5/2017,459.596,462.9301
13/5/2017,459.596,462.9301
