Date,000016.SH,000905.SH,CBA00101.CS,CCFI.WI,CCCI.FMM,H11025.CSI,885009.WI
2002-06-21,,,105.0844,359.9112,,,
2002-06-24,,,104.9102,360.5848,,,
2002-06-25,,,104.7492,360.1309,,,
2002-06-26,,,104.7045,358.7241,,,
2002-06-27,,,104.81,360.8496,,,
2002-06-28,,,104.7085,361.2297,,,
2002-07-01,,,104.8993,363.8915,,,
2002-07-02,,,105.0131,362.8434,,,
2002-07-03,,,104.4951,361.1907,,,
2002-07-04,,,104.87,361.2737,,,
2002-07-05,,,104.8048,360.7863,,,
2002-07-08,,,104.9053,360.4133,,,
2002-07-09,,,104.7641,361.722,,,
2002-07-10,,,104.653,360.4067,,,
2002-07-11,,,104.5747,359.0244,,,
2002-07-12,,,104.6104,360.444,,,
2002-07-15,,,104.5976,358.7037,,,
2002-07-16,,,104.5621,359.7439,,,
2002-07-17,,,104.4936,359.6304,,,
2002-07-18,,,104.2198,357.547,,,
2002-07-19,,,104.1821,355.7102,,,
2002-07-22,,,103.7029,350.3016,,,
2002-07-23,,,104.3594,350.3466,,,
2002-07-24,,,103.8119,341.2296,,,
2002-07-25,,,104.3673,344.1642,,,
2002-07-26,,,103.8974,342.3667,,,
2002-07-29,,,103.5576,341.7645,,,
2002-07-30,,,103.9419,343.9005,,,
2002-07-31,,,103.9327,342.174,,,
2002-08-01,,,103.993,336.7914,,,
2002-08-02,,,103.8634,338.1009,,,
2002-08-05,,,103.8154,336.9323,,,
2002-08-06,,,103.845,332.7046,,,
2002-08-07,,,103.7914,334.2783,,,
2002-08-08,,,103.8181,334.7044,,,
2002-08-09,,,103.6974,337.3317,,,
2002-08-12,,,103.5906,335.4987,,,
2002-08-13,,,103.7924,336.6941,,,
2002-08-14,,,103.7577,334.2816,,,
2002-08-15,,,103.6853,338.5132,,,
2002-08-16,,,103.674,340.4427,,,
2002-08-19,,,103.7271,337.2073,,,
2002-08-20,,,103.755,337.5577,,,
2002-08-21,,,103.3157,337.7981,,,
2002-08-22,,,104.0938,338.609,,,
2002-08-23,,,103.859,339.1763,,,
2002-08-26,,,103.4213,339.2267,,,
2002-08-27,,,103.171,340.143,,,
2002-08-28,,,103.1577,341.4467,,,
2002-08-29,,,102.9386,339.9175,,,
2002-08-30,,,103.0126,340.5838,,,
2002-09-02,,,102.9924,341.739,,,
2002-09-03,,,103.5784,340.0418,,,
2002-09-04,,,103.3972,335.896,,,
2002-09-05,,,103.681,336.4378,,,
2002-09-06,,,103.7364,334.1548,,,
2002-09-09,,,103.6034,339.5765,,,
2002-09-10,,,103.6151,342.0469,,,
2002-09-11,,,103.7849,342.5153,,,
2002-09-12,,,103.5827,343.2266,,,
2002-09-13,,,103.3557,340.4409,,,
2002-09-16,,,103.2969,341.4925,,,
2002-09-17,,,103.1223,342.0286,,,
2002-09-18,,,103.2407,339.1742,,,
2002-09-19,,,103.0361,338.7789,,,
2002-09-20,,,103.1182,336.9007,,,
2002-09-23,,,103.1913,339.0146,,,
2002-09-24,,,103.1815,336.15,,,
2002-09-25,,,102.7046,335.429,,,
2002-09-26,,,103.4222,337.6563,,,
2002-09-27,,,103.1969,337.3138,,,
2002-10-08,,,103.1249,333.5931,,,
2002-10-09,,,103.1443,333.6206,,,
2002-10-10,,,103.2589,333.9775,,,
2002-10-11,,,103.2895,336.0057,,,
2002-10-14,,,103.2646,336.3855,,,
2002-10-15,,,103.0645,335.1635,,,
2002-10-16,,,103.0646,335.4716,,,
2002-10-17,,,103.1359,338.0476,,,
2002-10-18,,,103.217,340.6439,,,
2002-10-21,,,103.193,340.1583,,,
2002-10-22,,,103.0835,340.8856,,,
2002-10-23,,,102.9507,342.4576,,,
2002-10-24,,,102.9557,342.1304,,,
2002-10-25,,,102.9361,343.4253,,,
2002-10-28,,,103.018,344.2973,,,
2002-10-29,,,102.814,342.9384,,,
2002-10-30,,,102.6746,342.7485,,,
2002-10-31,,,102.8093,343.5854,,,
2002-11-01,,,102.5936,347.5866,,,
2002-11-04,,,102.8225,351.0232,,,
2002-11-05,,,102.7488,349.7488,,,
2002-11-06,,,102.8338,352.334,,,
2002-11-07,,,102.7721,350.6431,,,
