MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
105814,NDLVSP,MSCI Daily TR Net Value Spain Local,Standard,Value,Net,Local,
105814,NDUVSP,MSCI Daily TR Net Value Spain USD,Standard,Value,Net,USD,
105817,GDLGSW,MSCI Daily TR Gross Growth Sweden Local,Standard,Growth,Gross,Local,
105817,GDUGSW,MSCI Daily TR Gross Growth Sweden USD,Standard,Growth,Gross,USD,
105817,MGLDSW,MSCI Growth Sweden Local,Standard,Growth,Price,Local,
105817,MGUDSW,MSCI Growth Sweden USD,Standard,Growth,Price,USD,
105817,NDUGSW,MSCI Daily TR Net Growth Sweden USD,Standard,Growth,Net,USD,
105817,NLDGSW,MSCI Daily TR Net Growth Sweden Local,Standard,Growth,Net,Local,
105818,GDLVSW,MSCI Daily TR Gross Value Sweden Local,Standard,Value,Gross,Local,
105818,GDUVSW,MSCI Daily TR Gross Value Sweden USD,Standard,Value,Gross,USD,
105818,MVLDSW,MSCI Value Sweden Local,Standard,Value,Price,Local,
105818,MVUDSW,MSCI Value Sweden USD,Standard,Value,Price,USD,
105818,NDLVSW,MSCI Daily TR Net Value Sweden Local,Standard,Value,Net,Local,
105818,NDUVSW,MSCI Daily TR Net Value Sweden USD,Standard,Value,Net,USD,
105821,GDLGSZ,MSCI Daily TR Gross Growth Switzerland Local,Standard,Growth,Gross,Local,
105821,GDUGSZ,MSCI Daily TR Gross Growth Switzerland USD,Standard,Growth,Gross,USD,
105821,MGLDSZ,MSCI Growth Switzerland Local,Standard,Growth,Price,Local,
105821,MGUDSZ,MSCI Growth Switzerland USD,Standard,Growth,Price,USD,
105821,NDUGSZ,MSCI Daily TR Net Growth Switzerland USD,Standard,Growth,Net,USD,
105821,NLDGSZ,MSCI Daily TR Net Growth Switzerland Local,Standard,Growth,Net,Local,
105822,GDLVSZ,MSCI Daily TR Gross Value Switzerland Local,Standard,Value,Gross,Local,
105822,GDUVSZ,MSCI Daily TR Gross Value Switzerland USD,Standard,Value,Gross,USD,
