,SmartGlobal Max-Growth,Benchmark-Growth
2018/6/25,1.275924364,1.210218513
2018/6/26,1.276839339,1.210894722
2018/6/27,1.268635846,1.206628596
2018/6/28,1.272136504,1.206888627
2018/6/29,1.27642928,1.212302275
2018/7/2,1.272637028,1.208616903
2018/7/3,1.273153761,1.209160936
2018/7/5,1.278354937,1.213835911
2018/7/6,1.285709335,1.22073752
2018/7/9,1.294201545,1.227681438
2018/7/10,1.295414364,1.229191687
2018/7/11,1.285723285,1.222499956
2018/7/12,1.293708644,1.227561965
2018/7/13,1.294826073,1.229925106
2018/7/16,1.292235594,1.22831627
2018/7/17,1.295049704,1.230090927
2018/7/18,1.295466715,1.231133151
2018/7/19,1.292308409,1.228577479
2018/7/20,1.294541171,1.229864181
2018/7/23,1.293702941,1.228492248
2018/7/24,1.298608794,1.233991006
2018/7/25,1.306603311,1.238709613
2018/7/26,1.303289917,1.238169553
2018/7/27,1.300613486,1.236822105
2018/7/30,1.29745803,1.233765629
2018/7/31,1.30133486,1.235583356
2018/8/1,1.297983198,1.233456366
2018/8/2,1.297110658,1.231524731
2018/8/3,1.299847882,1.235511567
2018/8/6,1.299740684,1.236396252
2018/8/7,1.303916883,1.239634485
2018/8/8,1.303002428,1.239417536
2018/8/9,1.302336676,1.239128944
2018/8/10,1.293826779,1.231043933
2018/8/13,1.288303745,1.224686144
2018/8/14,1.292798625,1.22767853
2018/8/15,1.281122365,1.219543357
2018/8/16,1.286994169,1.224381661
2018/8/17,1.291689942,1.226958565
2018/8/20,1.294226232,1.23147269
2018/8/21,1.299061914,1.234185519
2018/8/22,1.301304735,1.236504658
2018/8/23,1.296326802,1.234089108
2018/8/24,1.303780553,1.23837375
2018/8/27,1.311175853,1.245912067
2018/8/28,1.30966798,1.246180347
2018/8/29,1.31335147,1.248973235
2018/8/30,1.306167698,1.245151489
2018/8/31,1.305970317,1.24308264
2018/9/4,1.299910501,1.236274288
2018/9/5,1.294798153,1.23125985
2018/9/6,1.292663744,1.228693371
2018/9/7,1.288390653,1.225523944
2018/9/10,1.28824083,1.226496309
2018/9/11,1.289684048,1.226683968
2018/9/12,1.292980223,1.228996161
2018/9/13,1.298980285,1.233691078
2018/9/14,1.298366119,1.235376058
2018/9/17,1.293868025,1.232200671
2018/9/18,1.299320903,1.235428658
2018/9/19,1.302415857,1.237552216
2018/9/20,1.309695585,1.244563377
2018/9/21,1.309860084,1.247621671
2018/9/24,1.305399132,1.244347651
2018/9/25,1.307628706,1.244198148
2018/9/26,1.307191571,1.243861423
2018/9/27,1.307997454,1.244388825
2018/9/28,1.305900569,1.242589658
2018/10/1,1.307578712,1.243475803
2018/10/2,1.3038829,1.241268247
2018/10/3,1.301443184,1.239161738
2018/10/4,1.289610622,1.229880906
2018/10/5,1.284309349,1.223549635
2018/10/8,1.284309349,1.220425792
2018/10/9,1.281014742,1.219179647
2018/10/10,1.258444588,1.201272746
2018/10/11,1.247298417,1.185448696
2018/10/12,1.257775445,1.193727504
2018/10/15,1.25400909,1.189679203
2018/10/16,1.269815143,1.203269827
2018/10/17,1.264870202,1.20217083
2018/10/18,1.25102058,1.192471092
2018/10/19,1.252780422,1.191090236
2018/10/22,1.252576908,1.189239784
2018/10/23,1.246744271,1.18117172
2018/10/24,1.224264556,1.165882222
2018/10/25,1.237171849,1.171338358
2018/10/26,1.227798701,1.163270955
2018/10/29,1.220188281,1.160502543
2018/10/30,1.231415401,1.167229703
2018/10/31,1.238973712,1.176419244
2018/11/1,1.252608597,1.184540029
2018/11/2,1.251099658,1.183826036
2018/11/5,1.253703333,1.185205893
2018/11/6,1.256041572,1.188583932
2018/11/7,1.270472899,1.200844975
2018/11/8,1.262014489,1.199363365
2018/11/9,1.253422766,1.192006973
2018/11/12,1.253422766,1.179464026
2018/11/13,1.242374997,1.179374371
2018/11/14,1.240400887,1.176044307
2018/11/15,1.24935173,1.180679106
2018/11/16,1.251467229,1.184170209
2018/11/19,1.240639313,1.177081165
2018/11/20,1.22550507,1.164408692
2018/11/21,1.233992411,1.167227761
2018/11/23,1.227437329,1.163604919
2018/11/26,1.237326666,1.172244241
2018/11/27,1.23746387,1.172997469
2018/11/28,1.254698986,1.184398627
2018/11/29,1.252437125,1.186708598
2018/11/30,1.25408672,1.188827947
2018/12/3,1.266038512,1.200072868
2018/12/4,1.244366911,1.184339809
