,Dymon-AQUMON,Dymon-AQUMON (VaR-adjusted),PLMAX US Equity,MERKX US Equity,ICPHX US Equity
2019/2/14,1.345679535,2.39016985,1.022077922,0.817531306,0.89704142
2019/2/15,1.346230018,2.393525943,1.022077922,0.819320215,0.89704142
2019/2/18,1.344374369,2.379863331,1.022077922,0.819320215,0.89704142
2019/2/19,1.345254441,2.38639982,1.025974026,0.823792487,0.893491124
2019/2/20,1.344359852,2.378760319,1.027272727,0.823792487,0.893491124
2019/2/21,1.345666883,2.388373883,1.024675325,0.821109123,0.893491124
2019/2/22,1.345962645,2.390074681,1.027272727,0.822898032,0.894674556
2019/2/25,1.343547635,2.373014081,1.02987013,0.823792487,0.894674556
2019/2/26,1.341531449,2.361567634,1.02987013,0.82647585,0.893491124
2019/2/27,1.341708653,2.362458946,1.028571429,0.825581395,0.894674556
2019/2/28,1.344628843,2.379171319,1.028571429,0.825581395,0.894674556
2019/3/1,1.346901767,2.391040789,1.025974026,0.821109123,0.893491124
2019/3/4,1.345536105,2.383849739,1.025974026,0.81842576,0.893491124
2019/3/5,1.346795884,2.391440321,1.027272727,0.816636852,0.895857988
2019/3/6,1.346586492,2.390206222,1.023376623,0.815742397,0.893491124
2019/3/7,1.347238888,2.395781985,1.016883117,0.808586762,0.892307692
2019/3/8,1.348140955,2.40099575,1.019480519,0.811270125,0.889940828
2019/3/11,1.345586156,2.380340465,1.022077922,0.813953488,0.89112426
2019/3/12,1.345422183,2.379269314,1.024675325,0.816636852,0.889940828
2019/3/13,1.345546493,2.380274183,1.025974026,0.821109123,0.889940828
2019/3/14,1.346846016,2.389317173,1.024675325,0.81842576,0.892307692
2019/3/15,1.346155095,2.384174631,1.028571429,0.821109123,0.893491124
2019/3/18,1.344562879,2.37157232,1.031168831,0.821109123,0.895857988
2019/3/19,1.344709291,2.37305184,1.031168831,0.822898032,0.895857988
2019/3/20,1.345450456,2.379052237,1.037662338,0.82647585,0.894674556
2019/3/21,1.343727723,2.366446332,1.035064935,0.822003578,0.895857988
2019/3/22,1.344338713,2.369534323,1.023376623,0.81842576,0.89112426
2019/3/25,1.345991549,2.37764743,1.028571429,0.820214669,0.892307692
2019/3/26,1.345218116,2.373569335,1.025974026,0.81842576,0.892307692
2019/3/27,1.347410133,2.384918396,1.019480519,0.816636852,0.886390533
2019/3/28,1.348975806,2.393052653,1.018181818,0.813059034,0.888757396
2019/3/29,1.348687845,2.391877704,1.022077922,0.813953488,0.888757396
2019/4/1,1.345473489,2.37641666,1.028571429,0.815742397,0.893491124
2019/4/2,1.346088463,2.379357816,1.027272727,0.813953488,0.895857988
2019/4/3,1.344597238,2.373551495,1.02987013,0.816636852,0.894674556
2019/4/4,1.343193855,2.367704013,1.02987013,0.814847943,0.895857988
2019/4/5,1.344609836,2.376987047,1.028571429,0.813953488,0.89704142
2019/4/8,1.346446504,2.386296713,1.02987013,0.817531306,0.895857988
2019/4/9,1.345122567,2.379060522,1.031168831,0.817531306,0.895857988
2019/4/10,1.344726464,2.377069846,1.033766234,0.81842576,0.89704142
2019/4/11,1.342878509,2.367308922,1.031168831,0.815742397,0.899408284
2019/4/12,1.342839897,2.367125596,1.033766234,0.81842576,0.899408284
2019/4/15,1.34154805,2.359766486,1.033766234,0.817531306,0.899408284
2019/4/16,1.342152107,2.362708212,1.032467532,0.816636852,0.898224852
2019/4/17,1.342568864,2.36472067,1.035064935,0.817531306,0.898224852
2019/4/18,1.34447467,2.37505877,1.031168831,0.813953488,0.900591716
2019/4/19,1.346565052,2.38979543,1.031168831,0.813953488,0.900591716
2019/4/22,1.347746721,2.397090658,1.02987013,0.815742397,0.899408284
2019/4/23,1.348941919,2.408095014,1.028571429,0.811270125,0.900591716
2019/4/24,1.350693359,2.421483246,1.020779221,0.806797853,0.898224852
2019/4/25,1.351576662,2.425973033,1.018181818,0.805008945,0.89704142
2019/4/26,1.349828787,2.416352091,1.019480519,0.806797853,0.89704142
2019/4/29,1.348614483,2.409136305,1.020779221,0.807692308,0.89704142
2019/4/30,1.349485207,2.414302237,1.025974026,0.810375671,0.89704142
2019/5/1,1.349059114,2.411376153,1.024675325,0.807692308,0.898224852
2019/5/2,1.349400846,2.413577749,1.022077922,0.805008945,0.895857988
2019/5/3,1.349121363,2.412004773,1.025974026,0.808586762,0.89704142
2019/5/6,1.348485593,2.408280415,1.022077922,0.807692308,0.895857988
2019/5/7,1.349241262,2.412699631,1.019480519,0.805903399,0.893491124
2019/5/8,1.351061422,2.423210616,1.019480519,0.805008945,0.894674556
2019/5/9,1.353126203,2.435699544,1.016883117,0.805903399,0.893491124
2019/5/10,1.351627515,2.426208162,1.020779221,0.807692308,0.893491124
2019/5/13,1.35372148,2.439426082,1.014285714,0.806797853,0.892307692
2019/5/14,1.353380583,2.437571257,1.015584416,0.806797853,0.893491124
2019/5/15,1.353951137,2.440966553,1.016883117,0.806797853,0.893491124
2019/5/16,1.3556786,2.450518257,1.015584416,0.80411449,0.893491124
2019/5/17,1.359137846,2.471520056,1.01038961,0.802325581,0.892307692
2019/5/20,1.358935219,2.470392548,1.012987013,0.802325581,0.892307692
2019/5/21,1.359834763,2.47548742,1.014285714,0.803220036,0.894674556
2019/5/22,1.360463342,2.479443306,1.014285714,0.802325581,0.894674556
2019/5/23,1.360638698,2.480554051,1.012987013,0.803220036,0.893491124
2019/5/24,1.35988872,2.477352902,1.016883117,0.806797853,0.894674556
2019/5/27,1.357284525,2.466166168,1.016883117,0.806797853,0.894674556
2019/5/28,1.359194421,2.47425386,1.014285714,0.803220036,0.895857988
2019/5/29,1.361867654,2.486347412,1.014285714,0.801431127,0.899408284
2019/5/30,1.360943069,2.481586137,1.015584416,0.802325581,0.899408284
2019/5/31,1.362906273,2.491867445,1.019480519,0.805008945,0.89704142
2019/6/3,1.361545744,2.484683949,1.023376623,0.809481216,0.895857988
2019/6/4,1.36193491,2.487026776,1.025974026,0.811270125,0.898224852
2019/6/5,1.361171701,2.48145906,1.024675325,0.809481216,0.898224852
2019/6/6,1.361958557,2.487588675,1.027272727,0.81216458,0.89704142
2019/6/7,1.36309031,2.495688881,1.027272727,0.816636852,0.895857988
2019/6/10,1.362827588,2.493578073,1.028571429,0.815742397,0.899408284
2019/6/11,1.363842534,2.501571378,1.032467532,0.814847943,0.901775148
2019/6/12,1.362924019,2.495094003,1.02987013,0.813059034,0.90295858
2019/6/13,1.363956529,2.502880026,1.031168831,0.813059034,0.904142012
2019/6/14,1.364305454,2.505273166,1.028571429,0.808586762,0.905325444
2019/6/17,1.363474045,2.499738011,1.027272727,0.808586762,0.905325444
2019/6/18,1.365422167,2.51317242,1.032467532,0.808586762,0.90887574
2019/6/19,1.36376093,2.500211132,1.036363636,0.81216458,0.910059172
2019/6/20,1.367089319,2.524505936,1.044155844,0.820214669,0.911242604
